pl_discmethod,pl_pnum,pl_orbper,pl_orbsmaxlim,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_rvamp,pl_massj,pl_masse,pl_rade,pl_rads,pl_ratdor,pl_ratror,pl_disc,pl_locale,st_glon,st_glat,st_elon,st_elat,st_plx,st_pmra,st_pmdec,st_pm,st_radv,st_sp,st_logg,st_lum,st_age,st_vsini,st_colorn
Radial Velocity,3,2391,0,0.098,0.54,,164.866562,40.430256,14.08,5.05,5892,1.03,1.23,0,1,0,0,0,0,2.56E+02,8,,,,,,,2001,Ground,175.782531,63.369127,149.069855,31.061608,71.04,-317.2,56.6,322.2,11.1,4,4.27,,7.3,2.9,11
Radial Velocity,3,14002,0,0.16,1.64,,164.866562,40.430256,14.08,5.05,5892,1.03,1.23,0,1,0,0,0,0,8.24E+02,13.8,,,,,,,2009,Ground,175.782531,63.369127,149.069855,31.061608,71.04,-317.2,56.6,322.2,11.1,4,4.27,,7.3,2.9,11
Imaging,1,,0,,2,,69.400551,-2.473548,29.4,5.23,,1.75,,0,0,1,1,0,0,4.49E+02,,2,635.66,,,,,2015,Ground,198.61262,-30.657612,67.313442,-24.305028,,43.6,-64.1,77.5,17.3,3,,0.85,0.02,71.8,10
Radial Velocity,1,4.230785,0,0.013,0.472,,344.366577,20.768833,15.36,5.5,5793,1.12,1.2,0,1,0,0,0,0,3.43E+00,55.94,,,,,,,1995,Ground,90.062611,-34.727214,354.284094,25.186477,65.1,207.9,59.8,216.3,-33.25,4.25,4.33,,4,2,20
Radial Velocity,5,14.65152,0,0.0034,0.8306,,133.149216,28.330818,12.53,5.96,5196,0.91,0.94,0,1,0,0,0,0,9.20E+00,71.4,0.8306,263.9785,,,,,1996,Ground,196.794709,37.698968,127.732452,10.367085,79.8,-484.8,-233.5,538.1,27.4,4.8,4.45,-0.235,10.2,2.5,11
Radial Velocity,5,44.4175,0,0.02,0.1714,,133.149216,28.330818,12.53,5.96,5196,0.91,0.94,0,1,0,0,0,0,1.93E+01,10.18,0.1714,54.4738,,,,,2004,Ground,196.794709,37.698968,127.732452,10.367085,79.8,-484.8,-233.5,538.1,27.4,4.8,4.45,-0.235,10.2,2.5,11
Radial Velocity,5,4825,0,0.019,3.878,,133.149216,28.330818,12.53,5.96,5196,0.91,0.94,0,1,0,0,0,0,4.39E+02,48.29,3.878,1232.493,,,,,2002,Ground,196.794709,37.698968,127.732452,10.367085,79.8,-484.8,-233.5,538.1,27.4,4.8,4.45,-0.235,10.2,2.5,11
Radial Velocity,5,0.736539,0,,0.02542,0.17,133.149216,28.330818,12.53,5.96,5196,0.91,0.94,1,1,0,0,0,0,1.23E+00,,0.02542,8.08,1.91,0.018,,0.0187,2004,Ground,196.794709,37.698968,127.732452,10.367085,79.8,-484.8,-233.5,538.1,27.4,4.8,4.45,-0.235,10.2,2.5,11
Radial Velocity,5,262,0,0.305,0.141,,133.149216,28.330818,12.53,5.96,5196,0.91,0.94,0,1,0,0,0,0,6.29E+01,4.87,0.141,44.812,,,,,2007,Ground,196.794709,37.698968,127.732452,10.367085,79.8,-484.8,-233.5,538.1,27.4,4.8,4.45,-0.235,10.2,2.5,11
Radial Velocity,1,874.774,0,0.125,2.21,,97.696281,58.162632,56.95,5.855,4978,1.7,5.2,0,1,0,0,0,0,3.83E+01,31.53,,,,,,,2008,Ground,156.971465,20.189874,94.938691,34.855212,17.56,-29.4,-340,341.3,,5,3.16,1.176,,1.32,10
Radial Velocity,3,4.215,0,0.12,0.016,,199.601318,-18.311195,8.52,4.74,5577,0.94,0.96,0,1,0,0,0,0,5.89E+00,2.12,,,,,,,2009,Ground,311.859025,44.092637,205.0072,-9.297809,117.3,-1069.9,-1063.78,1508.75,-8.2,4.5,4.34,-0.095,8.96,1.9,21
Radial Velocity,3,38.021,0,0.14,0.057,,199.601318,-18.311195,8.52,4.74,5577,0.94,0.96,0,1,0,0,0,0,2.55E+01,3.62,,,,,,,2009,Ground,311.859025,44.092637,205.0072,-9.297809,117.3,-1069.9,-1063.78,1508.75,-8.2,4.5,4.34,-0.095,8.96,1.9,21
Radial Velocity,3,123.01,0,0.35,0.072,,199.601318,-18.311195,8.52,4.74,5577,0.94,0.96,0,1,0,0,0,0,5.59E+01,3.25,,,,,,,2009,Ground,311.859025,44.092637,205.0072,-9.297809,117.3,-1069.9,-1063.78,1508.75,-8.2,4.5,4.34,-0.095,8.96,1.9,21
Radial Velocity,1,796,0,0.22,2.46,,99.17099,-19.255878,19.84,3.92,4792,1.52,2.3,0,1,0,0,0,0,9.73E+01,41.8,,,,,,,2011,Ground,228.688399,-11.796021,101.741914,-42.322075,50.41,63.3,-69.2,93.8,,5.1,3.25,1.053,,1.15,15
