pl_discmethod,pl_disc,pl_locale,st_dist,st_optmag,st_teff,st_mass,st_rad,st_logg,st_metfe,st_vsini,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse
RadialVelocity,2009,Ground,42.09,9.88,4816,0.5,0.71,4.43,-0.06,1.4,5.6,0.06,0.15,12.7132
RadialVelocity,2009,Ground,42.09,9.88,4816,0.5,0.71,4.43,-0.06,1.4,237.6,0.68,0.19,104
RadialVelocity,2000,Ground,80,10.08,5393,1.47,0.91,4.69,0.38,0.92,3.48777,0.04,0.02,187.5197
RadialVelocity,2014,Ground,27.3,9.99,4475,0.57,0.52,4.1,-0.48,2,1667,2.28,0.05,168.44
RadialVelocity,2007,Ground,766,9.45,4545,2.12,19.17,2.2,-0.08,,714.29999,1.66,0.21,3108.3774
RadialVelocity,2008,Ground,37.54,9.566,4665,0.31,0.74,4.19,0.01,1.5,655.59998,1.34,0.54,905.8155
Imaging,2011,Ground,23.1,,580.5,0.02,,4.72,,,10037.5,2.6,,3337.1
Imaging,2006,Space,,,,0.35,,,,,,210,,3994.486
Imaging,2007,Ground,165,,,,,,,,,440,,5403
Transit,2008,Space,,13.6,5950,0.95,1.11,4.25,-0.3,5.2,1.5089557,,0,327.35
Transit,2010,Space,345,15.22,5075,0.89,0.79,4.65,0.26,2,13.2406,0.1055,0.53,874
Transit,2010,Space,560,12.939,6440,1.27,1.37,4.22,-0.03,40,2.99433,0.0436,0,740.51
Transit,2010,Space,1150,15.515,5675,1.08,1.12,4.38,0.16,1,2.828042,0.04016,0.07,291.438
Transit,2010,Space,1060,15.039,5945,1.09,1.01,4.46,0.01,4,4.03519,0.051,0,415.704
Transit,2010,Space,1340,16.033,6035,1.13,1.21,4.35,0.05,9,1.51214,0.027,0,2415.4
Transit,2011,Space,840,15.63,5650,1.1,1.19,4.36,0.19,1,5.35227,0.0618,0.33,170.032
Transit,2011,Space,920,15.46,5740,1.04,1.59,4.4,0,4.5,3.7681,0.0461,0,772.29
Transit,2011,Space,870,15,5440,0.95,1,4.4,-0.1,8,1.9000693,0.0295,0.08,1102.82
Transit,2011,Space,770,14.007,6090,1.21,1.65,4.07,-0.02,6,3.89713,0.0518,0.047,352.78
Transit,2008,Space,200,12.57,5625,0.96,0.91,,,10.87,1.7429935,0.02798,0.0143,1102.82
Transit,2011,Space,1230,14.66,5880,1.14,1.02,4.2,0.14,4.5,9.24285,0.0902,0.562,1347.54
Transit,2014,Space,592,13.944,5939,1.1,1.14,4.36,0.17,4,9.75598,0.092,0.077,12.2
Transit,2011,Space,600,15.63,5900,1.14,1.61,4.3,0.05,9,3.6313,0.048,0.16,889.9
Transit,2014,Space,600,,4950,0.91,0.86,4.55,0.3,2,5.1134,0.056,0,5.7
Transit,2014,Space,600,,4950,0.91,0.86,4.55,0.3,2,11.759,0.098,0,28
Transit,2013,Space,1000,,6040,1.09,1.19,4.31,-0.01,4.3,4.86069,0.0578,0,85.81
Transit,2013,Space,1670,,5590,1.09,1.79,3.99,0.01,2,4.20474,0.0526,0,165.26
Transit,2014,Space,,15.54,5900,1.05,1.08,4.4,-0.1,4,3.57532,0.0476,0.065,3302.11
Transit,2015,Space,560,,5150,1.01,1.78,3.6,0.15,3,5.20851,0.0603,0.047,153.82972
Transit,2015,Space,765,,5260,0.97,0.9,4.3,0.2,3.5,2.85057,0.0386,0.082,270.1555
Transit,2008,Space,680,13.292,6740,1.37,1.56,4.22,,17,4.2568,,0,6883.91
Transit,2008,Space,,,6190,1.16,1.17,4.41,,6.4,9.20205,0.09,0,228.83
Transit,2009,Space,,,6100,1,1.19,4.19,-0.25,1,4.0378962,0.04947,0.09,148.42
Transit,2009,Space,,13.912,6090,1.05,1.02,4.43,-0.2,7.6,8.886593,0.0855,0.1,940.74
Transit,2009,Space,153.7,11.668,5275,0.82,0.83,4.5,0.05,3.5,0.85359,,0,3.1783
RadialVelocity,2009,Space,153.7,11.668,5275,0.82,0.83,4.5,0.05,3.5,3.698,0.046,0,8.4
Transit,2010,Space,380,14.8,5080,0.88,0.77,4.58,0.3,2,6.21229,0.063,0,69.92
Transit,2009,Space,460,13.69,5625,0.96,0.96,4.54,-0.01,3.5,95.272656,0.4021,0.133,266.9772
Transit,2017,Space,,,5970,1.08,0.79,4.67,0,3.2,6.71837,0.071,,47.6745
Astrometry,2013,Ground,20.77,,,0.07,,,,,246.36,0.36,0.345,9057.77
Imaging,2004,Ground,140,,,0.33,0.27,,,,,330,,3496
EclipseTimingVariations,2009,Ground,,,,0.69,,,,,10220,8.19,0.39,1922.79
Transit,2016,Space,,15.256,4148.21,0.66,0.57,,,2.6,21.169861,0.131,0.06,
Transit,2018,Space,182.6,10.154,6025,1.18,1.38,4.25,0.1,4,19.49213,0.148,0,27
Transit,2018,Ground,458,11.601,6257,1.28,1.43,4.24,0.14,11.76,2.18056,0.037,0,508.528
Transit,2018,Ground,453,13.748,5630,1.19,1.59,4.11,0.34,3.78,3.20466,0.046,0,273.3338
Imaging,2008,Space,140,,2838,0.05,,,,,,800,,5085.28
Imaging,2008,Space,7.7,1.16,,1.92,,,,3.9,555530,160,0.87,
Transit,2015,Ground,12.04,13.49,3270,0.18,0.21,,,2,1.628931,0.0153,0.22,1.66
Transit,2018,Ground,12.04,13.49,3270,0.18,0.21,,,2,8.929,0.0476,0.27,2.64
RadialVelocity,2010,Ground,11.03,11.92,3264,0.35,0.4,,,,41.38,0.166,0.38,96.7
RadialVelocity,2017,Ground,11.03,11.92,3264,0.35,0.4,,,,532.58,0.912,0.342,68.06
Transit,2009,Ground,12.95,15.1,3026,0.15,0.22,4.94,0.39,2,1.58040456,0.01411,,6.26125
RadialVelocity,2013,Ground,14.97,11.81,3500,0.4,,,0.1,,8.63182,0.0607,0.073,10.6
RadialVelocity,2013,Ground,14.97,11.81,3500,0.4,,,0.1,,25.63058,0.1254,0.099,6.8
RadialVelocity,2013,Ground,14.97,11.81,3500,0.4,,,0.1,,603.95116,1.0304,0.373,29.4
RadialVelocity,2009,Ground,12.12,12,3370,0.36,0.38,4.83,0.3,1.5,2288,2.41,0.21,260.61
RadialVelocity,2017,Ground,3.8,9.872,3382,0.29,0.29,,0.09,,18.6498,0.091101,0.1,2.89
RadialVelocity,2017,Ground,3.8,9.872,3382,0.29,0.29,,0.09,,4.7234,0.036467,0.17,1.18
RadialVelocity,2000,Ground,17.62,6.59,5540,0.9,0.9,4.7,0.1,5.5,133.71,0.49,0.511,1071.04
RadialVelocity,2017,Ground,28.48,10.98,3717,0.68,0.5,,-0.3,,1.22003,0.0197,0.19,1.78
RadialVelocity,2017,Ground,28.48,10.98,3717,0.68,0.5,,-0.3,,5.974,0.057,0.11,4.18
RadialVelocity,2017,Ground,28.48,10.98,3717,0.68,0.5,,-0.3,,257.8,0.698,0.32,10.5
RadialVelocity,2007,Ground,15.1,11.97,3510,0.42,,,0.36,,692,1.15,0.11,794.5
RadialVelocity,2013,Ground,20.03,9.97,3900,0.69,,,0,,4100,4.5,0.37,731
RadialVelocity,2015,Ground,15.77,11.962,3466,0.42,0.4,,0.02,,30.5987,0.14339,0.06,23.54
RadialVelocity,2015,Ground,15.77,11.962,3466,0.42,0.4,,0.02,,122.6196,0.36175,0.11,21.09
RadialVelocity,2017,Ground,15.77,11.962,3466,0.42,0.4,,0.02,,48.1345,0.19394,0.12,7.6
RadialVelocity,2017,Ground,15.77,11.962,3466,0.42,0.4,,0.02,,13.2543,0.08208,0.21,3.28
RadialVelocity,2017,Ground,5.32,12.22,3159,0.16,0.12,,-0.27,,5.3636,0.03282,0.23,2.02
RadialVelocity,2017,Ground,5.32,12.22,3159,0.16,0.12,,-0.27,,40.54,0.1264,0.17,2.31
RadialVelocity,2015,Ground,23.16,12.08,3526,0.47,0.44,,-0.09,,14.207,0.089,0.31,6.6
RadialVelocity,2012,Ground,25.2,12.33,3652,0.51,0.48,4.78,0.18,,3.3366487,0.031,0.017,13.73
RadialVelocity,2010,Ground,19.8,11.93,,0.45,0.43,,,1,2.64561,0.0287,0.08,8.4
RadialVelocity,2017,Ground,16.96,10.25,3867,0.63,0.61,4.65,-0.04,1.67,6.905,0.0608,0.121,7.14
RadialVelocity,2016,Ground,17.79,10.83,3722,0.5,0.49,4.77,-0.16,0.93,2.64977,0.029,0,2.47
RadialVelocity,2016,Ground,17.79,10.83,3722,0.5,0.49,4.77,-0.16,0.93,13.74,0.089,0.049,6.26
RadialVelocity,2011,Ground,9.04,9.806,3461,0.59,0.5,4.81,-0.17,,7.3709,0.06,0.08,6.3566
RadialVelocity,2004,Ground,10.23,10.67,,0.47,0.46,4.79,,0.24,2.64388312,0.0291,0.13827,22.1
Imaging,2013,Ground,17.95,5.22,6234,1.22,,4.6,0.28,7.4,,43.5,,1271.3
RadialVelocity,2016,Ground,10.03,9.72,3685,0.52,0.5,4.75,-0.08,1.2,8.7076,0.06661,0.08,5.36
RadialVelocity,2005,Ground,6.27,10.56,,0.31,0.29,,-0.25,2.1,5.3686,0.04061,0,15.8
RadialVelocity,2007,Ground,6.27,10.56,,0.31,0.29,,-0.25,2.1,12.914,0.0721,0,5.5
RadialVelocity,2009,Ground,6.27,10.56,,0.31,0.29,,-0.25,2.1,3.149,0.02815,0,1.7
RadialVelocity,2017,Ground,6.49,10.1,3499,0.3,0.31,4.94,-0.38,0.2,14.628,0.078361,0.13,2.82
RadialVelocity,2009,Ground,10.32,9.69,3700,0.54,,,0.08,,598.3,1.135,0.3,104.244
RadialVelocity,2011,Ground,6.8,10.22,3350,0.33,,4.69,-0.55,,7.2004,0.0505,0.13,5.6
RadialVelocity,2011,Ground,6.8,10.22,3350,0.33,,4.69,-0.55,,28.14,0.125,0.02,3.8
RadialVelocity,2013,Ground,6.8,10.22,3350,0.33,,4.69,-0.55,,62.24,0.213,0.02,2.7
RadialVelocity,2013,Ground,6.8,10.22,3350,0.33,,4.69,-0.55,,39.026,0.156,0.03,2.7
RadialVelocity,2013,Ground,6.8,10.22,3350,0.33,,4.69,-0.55,,256.2,0.549,0.08,4.6
RadialVelocity,2007,Ground,4.54,9.37,3600,0.35,,,-0.28,1,4.6938,0.039,0.2,11.09
RadialVelocity,2010,Ground,16.9,9.58,3734,0.73,0.69,4.62,0.08,1.6,1056.80005,1.82,0.33,1576.4368
RadialVelocity,2016,Ground,16.9,9.58,3734,0.73,0.69,4.62,0.08,1.6,7337,6.6,,2161.244
RadialVelocity,2012,Ground,16.9,9.58,3734,0.73,0.69,4.62,0.08,1.6,3.6005,,0.262,4.4
RadialVelocity,2012,Ground,16.9,9.58,3734,0.73,0.69,4.62,0.08,1.6,35.39,,0.125,8.1
RadialVelocity,2014,Ground,4.53,9.15,3340,0.45,0.43,4.82,0.15,,38.14,0.17,0.04,19.0698
RadialVelocity,2008,Ground,4.94,8.66,3472,0.45,,4.7,-0.3,,3657,3.56,0.08,216
RadialVelocity,2014,Ground,4.94,8.66,3472,0.45,,4.7,-0.3,,35.68,0.163,0.18,5.4
RadialVelocity,2006,Ground,8.77,10.37,3241,0.65,0.53,4.8,0.24,1,1882,2.35,0.04,317.83
RadialVelocity,1999,Ground,10.91,6.12,5182,0.93,0.77,4.63,-0.22,2.37,15.76491,0.11,0.04,1404.8086
RadialVelocity,1998,Ground,4.7,10.191,,0.32,0.3,,,0.16,61.1166,0.208317,0.0324,723.2235
RadialVelocity,2000,Ground,4.7,10.191,,0.32,0.3,,,0.16,30.0881,0.12959,0.25591,226.9846
RadialVelocity,2005,Ground,4.7,10.191,,0.32,0.3,,,0.16,1.93778,0.020807,0.207,6.83
RadialVelocity,2010,Ground,4.7,10.191,,0.32,0.3,,,0.16,124.26,0.3343,0.055,14.6
Transit,2017,Space,30.32,10.25,4269,0.61,0.61,4.65,-0.5,1.3,1.2089802,0.01888,,3.42
Transit,2017,Space,30.32,10.25,4269,0.61,0.61,4.65,-0.5,1.3,3.648083,0.03942,,2.42
Transit,2017,Space,30.32,10.25,4269,0.61,0.61,4.65,-0.5,1.3,6.201467,0.05615,,5.2
Imaging,2004,Ground,139,12.43,,0.7,,,,,,100,,6356
Imaging,2010,Ground,145,12.375,4200,0.9,,,,,,320,,5000
Imaging,2014,Ground,48,13.55,,0.33,,,0.1,23,,2000,,3591.3
Transit,2006,Ground,139,10.34,5980,1.15,1.17,4.36,0.13,3.75,4.46529976,0.05561,,166.86075
Transit,2008,Ground,37.81,6.57,4780,0.81,0.68,,0.31,1.5,4.88780244,0.05254,0.218,23.4
RadialVelocity,2018,Ground,37.81,6.57,4780,0.81,0.68,,0.31,1.5,3407,4.13,0.601,507
Transit,2009,Ground,142.5,12.84,4650,0.73,0.7,4.61,-0.29,0.5,3.2130598,0.0384,0,67.059
Transit,2009,Ground,214,10.622,5653,1.22,1.56,4.13,0.41,1.66,2.91625,,0.0133,270.462
RadialVelocity,2009,Ground,214,10.622,5653,1.22,1.56,4.13,0.41,1.66,446.27,,0.6616,4538.421
Transit,2010,Ground,205,9.98,6600,2.65,1.82,4.25,0.11,8.4,4.62767,,0.11,1093.3352
Transit,2010,Ground,190,12.16,5568,1,1.07,4.38,0.22,2,10.8635,,0.19,616.5902
Transit,2010,Ground,235,10.812,6158,1.22,1.24,4.34,0.17,3.5,2.77596,0.0413,0.036,1332.605
Transit,2010,Ground,90,10.54,5246,0.99,0.87,4.53,0,0.3,10.33852,,0.35,184.3414
RadialVelocity,2010,Ground,90,10.54,5246,0.99,0.87,4.53,0,0.3,5584,5.6,0.39,1080.6
Transit,2010,Ground,166,12.759,4803,0.77,0.75,4.57,0.1,0.5,5.508023,0.0559,0.084,62.61
Transit,2010,Ground,215,12.901,4990,0.84,0.82,4.54,0.23,0.7,4.008778,0.0466,0.067,92.802
Transit,2007,Ground,135.32,8.689,6412,1.93,1.71,4.16,0.06,20.8,5.63347,,0.52,3632.7969
Transit,2010,Ground,70,11.339,4595,0.76,0.69,4.63,0.35,2.1,2.875317,0.0361,0.015,2302.899
Transit,2010,Ground,254,11.685,5588,1.24,1.21,4.33,0.01,3.5,4.12448,,0.23,1547.8321
Transit,2010,Ground,82,9.732,5302,1.13,1.11,4.36,0.24,0.5,3.21222,,0.02,785.0401
Transit,2010,Ground,393,12.432,5905,0.58,0.96,4.33,0.15,8.1,1.21288,,0.11,425.8922
Transit,2010,Ground,396,11.818,6373,1.37,1.38,4.27,-0.16,10,3.35524,,0.07,238.3725
Transit,2010,Ground,297,13.19,5500,1.01,0.96,4.48,0.31,0.5,3.652836,0.0466,0.032,180.202
Transit,2010,Ground,134,11.744,5079,1.12,0.87,4.56,-0.04,1.8,4.23452,,0.12,22.2481
Transit,2011,Ground,204,,5300,0.94,0.9,4.51,0.29,0.4,3.039577,0.04,0,197.05
Transit,2011,Ground,395,13.03,5680,1.02,1.1,4.36,0.12,0.2,3.257215,0.0434,0.051,198.953
Transit,2011,Ground,322,11.9,6087,1.45,1.3,4.34,0.21,3.9,5.72319,,0.09,279.6904
Transit,2007,Ground,138,11.577,5185,1.06,0.87,4.56,0.27,0.5,2.8997,,0,206.5895
Transit,2011,Ground,193,10.419,6304,1.55,1.31,4.36,0.13,2.2,2.8106,,0.04,263.7989
