pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Radial Velocity,2001,Ground,164.866562,40.430256,175.782531,63.369127,149.069855,31.061608,14.08,5.05,V (Johnson),5892,1.03,1.23,4,G0 V,4.27,,0,[Fe/H],2.9,47 UMa,c,3,2391,3.6,0.098,171.621,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,164.866562,40.430256,175.782531,63.369127,149.069855,31.061608,14.08,5.05,V (Johnson),5892,1.03,1.23,4,G0 V,4.27,,0,[Fe/H],2.9,47 UMa,d,3,14002,11.6,0.16,521.22,Msini,,0,1,0,0,0,0
Imaging,2015,Ground,69.400551,-2.473548,198.61262,-30.657612,67.313442,-24.305028,29.4,5.23,V (Johnson),,1.75,,3,F0 IV,,0.85,-0.027,[M/H],71.8,51 Eri,b,1,,13.2,,635.66,Mass,,0,0,1,1,0,0
Radial Velocity,1995,Ground,344.366577,20.768833,90.062611,-34.727214,354.284094,25.186477,15.36,5.5,V (Johnson),5793,1.12,1.2,4.25,G2.5 IV,4.33,,0.2,[Fe/H],2,51 Peg,b,1,4.230785,0.0527,0.013,150.009,Msini,,0,1,0,0,0,0
Radial Velocity,1996,Ground,133.149216,28.330818,196.794709,37.698968,127.732452,10.367085,12.53,5.96,V (Johnson),5196,0.91,0.94,4.8,G8 V,4.45,-0.235,0.31,[Fe/H],2.5,55 Cnc,b,5,14.65152,0.115227,0.0034,263.9785,Mass,,0,1,0,0,0,0
Radial Velocity,2004,Ground,133.149216,28.330818,196.794709,37.698968,127.732452,10.367085,12.53,5.96,V (Johnson),5196,0.91,0.94,4.8,G8 V,4.45,-0.235,0.31,[Fe/H],2.5,55 Cnc,c,5,44.4175,0.241376,0.02,54.4738,Mass,,0,1,0,0,0,0
Radial Velocity,2002,Ground,133.149216,28.330818,196.794709,37.698968,127.732452,10.367085,12.53,5.96,V (Johnson),5196,0.91,0.94,4.8,G8 V,4.45,-0.235,0.31,[Fe/H],2.5,55 Cnc,d,5,4825,5.503,0.019,1232.493,Mass,,0,1,0,0,0,0
Radial Velocity,2004,Ground,133.149216,28.330818,196.794709,37.698968,127.732452,10.367085,12.53,5.96,V (Johnson),5196,0.91,0.94,4.8,G8 V,4.45,-0.235,0.31,[Fe/H],2.5,55 Cnc,e,5,0.736539,0.01544,,8.08,Mass,1.91,1,1,0,0,0,0
Radial Velocity,2007,Ground,133.149216,28.330818,196.794709,37.698968,127.732452,10.367085,12.53,5.96,V (Johnson),5196,0.91,0.94,4.8,G8 V,4.45,-0.235,0.31,[Fe/H],2.5,55 Cnc,f,5,262,0.788,0.305,44.812,Mass,,0,1,0,0,0,0
Radial Velocity,2008,Ground,97.696281,58.162632,156.971465,20.189874,94.938691,34.855212,56.95,5.855,V (Johnson),4978,1.7,5.2,5,K0 III-IV,3.16,1.176,-0.13,[Fe/H],1.32,6 Lyn,b,1,874.774,2.18,0.125,702.4043,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,199.601318,-18.311195,311.859025,44.092637,205.0072,-9.297809,8.52,4.74,V (Johnson),5577,0.94,0.96,4.5,G5 V,4.34,-0.095,-0.01,[Fe/H],1.9,61 Vir,b,3,4.215,0.050201,0.12,5.1,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,199.601318,-18.311195,311.859025,44.092637,205.0072,-9.297809,8.52,4.74,V (Johnson),5577,0.94,0.96,4.5,G5 V,4.34,-0.095,-0.01,[Fe/H],1.9,61 Vir,c,3,38.021,0.2175,0.14,18.2,Msini,,0,1,0,0,0,0
