pl_discmethod,pl_disc,pl_locale,ra,dec,st_glon,st_glat,st_elon,st_elat,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,st_sp,st_spstr,st_logg,st_lum,st_metfe,st_metratio,st_vsini,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_bmassprov,pl_rade,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag
Radial Velocity,2008,Ground,20.496313,76.710281,124.735699,13.945745,64.962485,59.417211,16.82,7.185,V (Johnson),5131,0.65,0.78,5.05,K0.5 V,4.46,,-0.21,[Fe/H],1.35,HD 7924,b,3,5.39792,0.06,0.06,6.3566,Mass,,0,1,0,0,0,0
Radial Velocity,2015,Ground,20.496313,76.710281,124.735699,13.945745,64.962485,59.417211,16.82,7.185,V (Johnson),5131,0.65,0.78,5.05,K0.5 V,4.46,,-0.21,[Fe/H],1.35,HD 7924,c,3,15.299,0.1134,0.098,7.86,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,20.496313,76.710281,124.735699,13.945745,64.962485,59.417211,16.82,7.185,V (Johnson),5131,0.65,0.78,5.05,K0.5 V,4.46,,-0.21,[Fe/H],1.35,HD 7924,d,3,24.451,0.1551,0.21,6.44,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,138.789169,23.375549,204.702265,41.321994,134.096502,7.091717,49,8.027,V (Johnson),5740,1.06,,4.5,G5,4.37,,0.24,[Fe/H],2,HD 79498,b,1,1966.1,3.13,0.59,425.9,Msini,,0,1,0,0,0,0
Radial Velocity,2001,Ground,140.65654,50.603722,167.429268,44.311295,125.960572,33.29533,29.04,9.001,V (Johnson),5561,1.15,1.04,4.5,G5,4.42,,0.35,[Fe/H],1.36,HD 80606,b,1,111.4367,,0.93,1392.0954,Mass,11.994,1,1,0,0,0,0
Radial Velocity,2005,Ground,140.946198,20.364454,209.363802,42.326765,136.938431,4.836912,32.56,7.72,V (Johnson),5755,1.05,0.91,4.25,G2/G3,4.54,,-0.03,[Fe/H],2,HD 81040,b,1,1001.70001,1.94,0.53,2310.6241,Mass,,0,1,0,0,0,0
Radial Velocity,2007,Ground,142.166626,45.601482,174.226664,46.074968,129.183105,29.001381,88.26,5.393,V (Johnson),4753,2.1,13,4.5,G5,2.22,1.857,-0.359,[Fe/H],,HD 81688,b,1,184.02,0.81,0,858.1,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,143.938263,34.780743,190.027568,47.768699,134.719195,19.332264,112.23,7.78,V (Johnson),4953,2.53,5.26,4,G0,3.4,,-0.31,[Fe/H],0.43,HD 82886,b,1,705,1.58,0.07,740.5439,Mass,,0,1,0,0,0,0
Radial Velocity,2003,Ground,143.711395,-12.129546,245.842637,28.251215,150.420107,-25.021198,27.46,6.53,V (Johnson),6016,1.2,,4.25,G2/3 V,4.46,,0.3,[Fe/H],1.3,HD 82943,b,2,441.47,1.18306,0.162,534.25,Mass,,0,1,0,0,0,0
Radial Velocity,2003,Ground,143.711395,-12.129546,245.842637,28.251215,150.420107,-25.021198,27.46,6.53,V (Johnson),6016,1.2,,4.25,G2/3 V,4.46,,0.3,[Fe/H],1.3,HD 82943,c,2,220.078,0.74345,0.3663,622.603,Mass,,0,1,0,0,0,0
Radial Velocity,2002,Ground,144.299286,-43.272205,269.595451,6.679256,168.791827,-52.931205,43.53,8.222,V (Johnson),5442,0.79,0.94,5.05,K0/1 V + G (III),4.39,,0.35,[Fe/H],1.4,HD 83443,b,1,2.9857,0.04,0.01,108.0622,Mass,,0,1,0,0,0,0
Radial Velocity,2010,Ground,20.905149,-41.269802,279.920575,-74.388894,358.668896,-45.386193,52.5,7.7,V (Johnson),6136,1.13,1.19,4,G0 V,4.46,,0.06,[Fe/H],1.41,HD 8535,b,1,1313,2.45,0.15,216.1244,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,147.510406,-49.790268,275.545963,3.18551,178.487027,-56.993389,33.96,8.526,V (Johnson),5164,0.54,0.8,5.1,K1 V,4.36,,-0.08,[Fe/H],4,HD 85390,b,1,788,1.52,0.41,34.9613,Mass,,0,1,0,0,0,0
Radial Velocity,2011,Ground,147.779388,-43.502789,271.675935,8.159949,172.480545,-51.759613,11.15,7.67,V (Johnson),4300,0.43,0.71,5.5,K5 V,4.36,,-0.26,[Fe/H],3,HD 85512,b,1,58.43,0.26,0.11,3.1783,Mass,,0,1,0,0,0,0
Radial Velocity,2002,Ground,21.302153,28.566692,131.850302,-33.719514,30.549458,18.168222,44.2,7.112,V (Johnson),6064,1.34,1.38,3.8,F8,4.28,,0.01,[Fe/H],4.5,HD 8574,b,1,227,0.76,0.3,645.1949,Mass,,0,1,0,0,0,0
Radial Velocity,2006,Ground,149.024658,-3.808422,242.200793,37.60973,152.531964,-15.379503,91.16,8.73,V (Johnson),6018,1.39,1.58,3.8,F8 V,4.18,,0.2,[Fe/H],4.2,HD 86081,b,1,2.1375,0.03,0.01,521.2412,Mass,,0,1,0,0,0,0
Radial Velocity,2009,Ground,149.124359,-24.09939,259.395127,23.62938,161.157089,-34.122529,42.48,7.932,V (Johnson),5903,1.06,1.02,4.2,G2 V,4.36,0.025,0.05,[Fe/H],2.4,HD 86226,b,1,1695,2.84,0.15,292.39,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,149.240997,-15.895122,253.159847,29.655768,157.499521,-26.547114,72.57,7.407,V (Johnson),6210,1.42,1.88,3.7,F7 V,4.02,0.66,0.202,[Fe/H],12.5,HD 86264,b,1,1475,2.86,0.7,2224.81,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,21.536604,34.5797,131.000228,-27.747646,33.299464,23.609019,38.26,6.31,V (Johnson),6472,1.35,1.39,3.5,F5,4.27,,0.14,[Fe/H],26.9,HD 8673,b,1,1634,3.02,0.723,4513,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,150.406708,-17.333023,255.23274,29.406031,159.278816,-27.44254,169,7.459,V (Johnson),4805,1.66,8.8,5.1,K1 III,2.66,1.56,0.04,[Fe/H],,HD 86950,b,1,1270,2.72,0.17,1144.188,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,151.669861,17.895103,217.77251,51.028389,147.358253,5.870839,73.58,8,V (Johnson),5770,1.12,1.55,4,G,4.1,,-0.17,[Fe/H],7.5,HD 87646,b,1,13.481,0.117,0.05,3941.092,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,152.179749,34.24226,191.186608,54.540507,141.680987,21.272059,18.06,7.55,V (Johnson),4915,0.66,0.79,5.25,K2.5 V,4.47,,0.05,[Fe/H],2.2,HD 87883,b,1,2754,3.58,0.53,489.4582,Mass,,0,1,0,0,0,0
Radial Velocity,2004,Ground,152.531982,18.186871,217.810456,51.898177,148.02572,6.4336,74.46,8.01,V (Johnson),5404,1.23,2.01,4.5,G5 IV,3.92,,0.32,[Fe/H],2.2,HD 88133,b,1,3.41587,0.05,0.13,95.349,Mass,,0,1,0,0,0,0
Radial Velocity,2009,Ground,154.588699,12.621108,227.304203,51.395667,151.876292,1.94301,30.88,7.009,V (Johnson),5955,1.27,1.1,4,G0,4.46,,-0.13,[Fe/H],2.9,HD 89307,b,1,2166,3.27,0.2,670.6213,Mass,,0,1,0,0,0,0
Transit,2018,Space,154.671066,10.129028,230.807617,50.246642,152.847633,-0.353462,126.74,9.376,V (Johnson),5499,1.12,1.66,4.5,G5,4.04,0.356,0.45,[Fe/H],2.6,HD 89345,b,1,11.81399,0.105,0.203,35.7,Mass,6.86,1,1,0,0,0,0
Radial Velocity,1999,Ground,155.544006,41.22953,178.389916,56.393689,141.332573,28.740385,39,5.72,V (Johnson),6291,1.56,,3.7,F7 V,,,0.26,[Fe/H],9.5,HD 89744,b,1,256.78,0.918,0.673,2682.37,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,155.980316,-29.645529,268.37272,23.152132,170.852886,-36.479674,22.09,6.92,V (Johnson),5599,0.84,,4.5,G5 V,4.48,-0.143,-0.24,[Fe/H],0,HD 90156,b,1,49.77,0.25,0.31,17.98,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,22.504177,-19.604502,174.582406,-78.390109,12.776157,-26.824713,78.93,8.4,V (Johnson),5577,1.03,1.67,4.8,G8 IV,4.03,0.382,0.39,[Fe/H],2.1,HD 9174,b,1,1179,2.2,0.12,352.7913,Msini,,0,1,0,0,0,0
Radial Velocity,2000,Ground,160.702209,-2.183756,251.20722,47.352309,163.028501,-9.574002,32.32,7.3,V (Johnson),5738,1.15,1.11,4.6,G6 V,4.41,,0.3,[Fe/H],0.3,HD 92788,b,1,325.81,0.95,0.33,1179.1493,Mass,,0,1,0,0,0,0
Radial Velocity,2005,Ground,161.087143,-33.577023,274.64527,22.221547,177.982151,-37.940195,28.9,8.3,V (Johnson),4995,0.7,,5.3,K3 V,4.26,-0.387,0.15,[Fe/H],0.9,HD 93083,b,1,143.58,0.477,0.14,117.59,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,23.334101,29.265148,133.797807,-32.720986,32.559732,18.123478,52.85,8.369,V (Johnson),5793,1,1,4.5,G5 V,4.53,0.041,0.09,[Fe/H],4,HD 9446,b,2,30.052,0.189,0.2,222.472,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,23.334101,29.265148,133.797807,-32.720986,32.559732,18.123478,52.85,8.369,V (Johnson),5793,1,1,4.5,G5 V,4.53,0.041,0.09,[Fe/H],4,HD 9446,c,2,192.9,0.654,0.06,578.426,Msini,,0,1,0,0,0,0
Imaging,2013,Ground,164.262589,-68.667343,292.802924,-8.075282,218.64784,-63.363381,91.57,7.36,V (Johnson),,1.6,,2.8,A8 III,,,,,,HD 95086,b,1,,55.7,,1589,Mass,,0,0,1,0,0,0
Radial Velocity,2009,Ground,164.698898,1.729216,251.412506,52.943472,165.24005,-4.42973,149.03,7.946,V (Johnson),5002,1.58,4.9,4.9,G8/K0 IV,3.4,1.13,0.05,[Fe/H],,HD 95089,b,1,507,1.51,0.157,381.38,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,164.896194,43.814465,169.037434,61.995895,147.262062,34.083813,332,8.15,V (Johnson),4218,3.7,41.01,5,K0,1.78,,-0.18,[Fe/H],2.6,HD 95127,b,1,482,1.28,0.11,3378.5329,Mass,,0,1,0,0,0,0
Radial Velocity,2015,Ground,165.867114,-22.093977,272.336354,34.284159,176.309326,-25.790602,7.56,9.895,V (Johnson),5312,0.7,0.84,5,K0 V,4.43,,0.41,[Fe/H],,HD 95872,b,1,4375,5.15,0.06,1188.6842,Mass,,0,1,0,0,0,0
Radial Velocity,2011,Ground,166.185226,-2.513218,257.778448,50.760624,168.270519,-7.765725,132.8,8.37,V (Johnson),5148,1.02,4.5,4.6,G6 V,3.6,1.104,-0.3,[Fe/H],0.87,HD 96063,b,1,361.1,0.99,0.03,286,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,166.441452,44.301559,166.965638,62.735597,148.176915,35.033944,221.24,7.43,V (Johnson),3943,10.94,51.1,5.2,K2 III,2.06,,-0.24,[Fe/H],,HD 96127,b,1,647.29999,1.42,0.3,6661.7168,Mass,,0,1,0,0,0,0
Radial Velocity,2009,Ground,166.31279,-10.291301,264.808564,44.578514,171.519445,-14.863616,84.03,8.08,V (Johnson),5807,1.67,1.85,4.3,G3 V,4.13,,0.34,[Fe/H],3.8,HD 96167,b,1,498.89999,1.35,0.71,254.264,Mass,,0,1,0,0,0,0
Radial Velocity,2010,Ground,168.638184,25.710384,211.161966,68.295399,159.207476,19.112175,21.3,7.71,V (Johnson),5175,0.89,0.74,5.1,K1,4.49,,-0.3,[Fe/H],0.5,HD 97658,b,1,9.4909,,0.06,9.5349,Mass,2.354,1,1,0,0,0,0
Radial Velocity,2011,Ground,169.448135,-23.975414,276.920577,34.122772,180.517696,-26.063826,150.38,8.21,V (Johnson),4946,1.71,3.85,5,K0 III/IV,3.5,,-0.02,[Fe/H],0.3,HD 98219,b,1,436.89999,1.32,0,699.226,Mass,,0,1,0,0,0,0
Radial Velocity,2012,Ground,170.215698,-23.217342,277.305382,35.107211,180.855407,-25.075589,42.77,7.991,V (Johnson),5759,1,1,4.4,G4 V,4.38,-0.066,0.02,[Fe/H],1.19,HD 98649,b,1,4951,5.6,0.85,2161.2,Msini,,0,1,0,0,0,0
Radial Velocity,2005,Ground,171.072327,-1.529076,263.238611,54.484037,172.402757,-4.944481,60.46,9.1,V (Johnson),5282,0.76,0.98,4.9,G8/K0 IV,4.34,,0.35,[Fe/H],1.86,HD 99109,b,1,439.29999,1.11,0.09,139.8452,Mass,,0,1,0,0,0,0
Radial Velocity,2004,Ground,171.692825,3.006328,259.279563,58.5084,171.185033,-0.531328,55.7,7.58,V (Johnson),4815,0.48,0.83,5.3,K2/4,4.28,,0.24,[Fe/H],0.41,HD 99492,b,1,17.0431,0.12,0.25,22.2481,Mass,,0,1,0,0,0,0
Radial Velocity,2011,Ground,172.125885,43.966579,162.266818,66.29697,152.786799,36.70746,130.89,7.81,V (Johnson),4891,1.7,6.29,5,K0,3.07,,0.02,[Fe/H],0.89,HD 99706,b,1,868,2.13,0.37,441.7837,Mass,,0,1,0,0,0,0
Radial Velocity,2014,Ground,321.595306,-37.82943,5.449636,-46.014527,311.723155,-21.563424,84.6,5.64,V (Johnson),4780,2.1,,5.2,K2 III,2.94,1.67,0.31,[Fe/H],,HIP 105854,b,1,184.2,0.81,0.02,2606.1,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,327.500519,-64.71254,327.402044,-42.798208,302.284185,-47.584392,103.63,5.62,V (Johnson),4945,2.42,11.6,5.1,K1 III,2.6,1.87,0.03,[Fe/H],2,HIP 107773,b,1,144.3,0.72,0.09,629.3034,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,332.405823,71.314331,110.642652,12.414707,40.28391,68.148578,56.2,9.63,V (Johnson),5180,0.78,,4.5,G5,4.43,,-0.26,[Fe/H],2.7,HIP 109384,b,1,499.48,1.134,0.549,495.8148,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,333.026062,29.065811,85.761846,-22.076037,347.653901,37.115874,58.6,9.16,V (Johnson),5530,0.87,,4.5,G5,4.45,,-0.12,[Fe/H],2.7,HIP 109600,b,1,232.08,0.706,0.163,851.7844,Msini,,0,1,0,0,0,0
Transit,2014,Space,353.955353,0.445516,86.461145,-56.972883,354.627489,2.809767,55.2,10.19,V (Johnson),5089,0.81,0.72,5.1,K1,4.59,,-0.16,[Fe/H],2,HIP 116454,b,1,9.1205,,0.2,12.7132,Mass,2.466,1,1,0,0,0,0
Radial Velocity,2010,Ground,41.678692,-23.086611,210.539391,-63.651535,30.532818,-37.091152,23.8,10.24,V (Johnson),3901,0.69,0.65,6,M0,4.65,,-0.14,[Fe/H],,HIP 12961,b,1,57.435,0.25,0.17,114.4188,Mass,,0,1,0,0,0,0
Radial Velocity,2005,Ground,47.809292,21.097359,161.550961,-31.094518,51.130919,3.169363,52.88,8.52,V (Johnson),5520,0.81,1.04,4.5,G5 V,4.32,,0.29,[Fe/H],0.54,HIP 14810,b,3,6.67386,0.07,0.14,1074.2654,Mass,,0,1,0,0,0,0
Radial Velocity,2006,Ground,47.809292,21.097359,161.550961,-31.094518,51.130919,3.169363,52.88,8.52,V (Johnson),5520,0.81,1.04,4.5,G5 V,4.32,,0.29,[Fe/H],0.54,HIP 14810,c,3,147.73,0.545,0.164,406.8224,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,47.809292,21.097359,161.550961,-31.094518,51.130919,3.169363,52.88,8.52,V (Johnson),5520,0.81,1.04,4.5,G5 V,4.32,,0.29,[Fe/H],0.54,HIP 14810,d,3,952,1.89,0.173,181.1631,Msini,,0,1,0,0,0,0
Transit,2016,Space,126.616043,10.080378,214.526438,25.646038,126.463448,-8.844943,116.14,8.93,V (Johnson),6199,1.15,1.4,,,4.18,,-0.11,[Fe/H],7.13,HIP 41378,b,5,15.5712,,,,,2.9,1,0,0,0,0,0
Transit,2016,Space,126.616043,10.080378,214.526438,25.646038,126.463448,-8.844943,116.14,8.93,V (Johnson),6199,1.15,1.4,,,4.18,,-0.11,[Fe/H],7.13,HIP 41378,c,5,31.6978,,,,,2.56,1,0,0,0,0,0
Transit,2016,Space,126.616043,10.080378,214.526438,25.646038,126.463448,-8.844943,116.14,8.93,V (Johnson),6199,1.15,1.4,,,4.18,,-0.11,[Fe/H],7.13,HIP 41378,d,5,156,,,,,3.96,1,0,0,0,0,0
Transit,2016,Space,126.616043,10.080378,214.526438,25.646038,126.463448,-8.844943,116.14,8.93,V (Johnson),6199,1.15,1.4,,,4.18,,-0.11,[Fe/H],7.13,HIP 41378,e,5,131,,,,,5.51,1,0,0,0,0,0
Transit,2016,Space,126.616043,10.080378,214.526438,25.646038,126.463448,-8.844943,116.14,8.93,V (Johnson),6199,1.15,1.4,,,4.18,,-0.11,[Fe/H],7.13,HIP 41378,f,5,324,,,,,10.2,1,0,0,0,0,0
Radial Velocity,2009,Ground,16.508533,-22.453154,159.036135,-84.271115,5.737127,-27.056888,44.8,10.167,V (Johnson),4813,0.43,0.75,,,4.32,,0.17,[Fe/H],,HIP 5158,b,2,345.72,0.89,0.52,305.1168,Mass,,0,1,0,0,0,0
Radial Velocity,2011,Ground,16.508533,-22.453154,159.036135,-84.271115,5.737127,-27.056888,44.8,10.167,V (Johnson),4813,0.43,0.75,,,4.32,,0.17,[Fe/H],,HIP 5158,c,2,9017.76,7.7,0.14,4780.1632,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,176.170685,30.959293,194.246675,74.932183,163.270867,26.692285,25.87,8.98,V (Johnson),4510,0.29,0.78,5.4,K4 V,4.11,,0.01,[Fe/H],,HIP 57274,b,3,8.1352,0.07,0.19,6.3566,Mass,,0,1,0,0,0,0
Radial Velocity,2011,Ground,176.170685,30.959293,194.246675,74.932183,163.270867,26.692285,25.87,8.98,V (Johnson),4510,0.29,0.78,5.4,K4 V,4.11,,0.01,[Fe/H],,HIP 57274,c,3,32.03,0.178,0.05,130,Msini,,0,1,0,0,0,0
Radial Velocity,2011,Ground,176.170685,30.959293,194.246675,74.932183,163.270867,26.692285,25.87,8.98,V (Johnson),4510,0.29,0.78,5.4,K4 V,4.11,,0.01,[Fe/H],,HIP 57274,d,3,431.7,1.01,0.27,167.4,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,194.383163,-65.646461,303.560962,-2.782088,228.805355,-52.664433,149.25,6.871,V (Johnson),4830,1.54,,4.8,G8,2.53,1.63,-0.31,[Fe/H],3.7,HIP 63242,b,1,124.6,0.565,0.23,2917.56,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,201.087662,48.885094,108.799004,67.330209,172.331115,51.751638,55.5,9.42,V (Johnson),5460,0.93,,5,K0,4.47,,0.25,[Fe/H],2.8,HIP 65407,b,2,28.125,0.177,0.14,136.03124,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,201.087662,48.885094,108.799004,67.330209,172.331115,51.751638,55.5,9.42,V (Johnson),5460,0.93,,5,K0,4.47,,0.25,[Fe/H],2.8,HIP 65407,c,2,67.3,0.316,0.12,249.17872,Msini,,0,1,0,0,0,0
Imaging,2017,Ground,201.150406,-51.504459,308.178752,11.029184,221.708529,-38.956911,111.4,6.982,V (Johnson),8840,1.96,1.77,2.2,A2 V,,,,,299,HIP 65426,b,1,,92,,2860.47,Mass,16.814,0,0,1,0,0,0
Radial Velocity,2015,Ground,202.605301,-58.664356,307.993677,3.823814,227.457663,-44.760055,136.05,6.75,V (Johnson),5000,2.5,8.93,5,K0 III,2.9,1.65,0.16,[Fe/H],2.5,HIP 65891,b,1,1084.5,2.81,0.13,1906.98,Msini,,0,1,0,0,0,0
Radial Velocity,2017,Ground,207.580826,-39.900856,315.033596,21.583175,220.514027,-26.566842,112.6,6.44,V (Johnson),4985,2.41,8.69,5.1,K1 III,2.85,1.617,0.15,[Fe/H],2.3,HIP 67537,b,1,2556.5,4.91,0.59,3527.913,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,208.466919,-35.314362,317.050378,25.840027,219.283674,-22.064409,65.96,6.17,V (Johnson),4890,1.63,5.92,5,K0 III,3.15,1.244,0,[Fe/H],1.8,HIP 67851,b,2,88.9,0.46,0.05,438.6054,Msini,,0,1,0,0,0,0
Radial Velocity,2015,Ground,208.466919,-35.314362,317.050378,25.840027,219.283674,-22.064409,65.96,6.17,V (Johnson),4890,1.63,5.92,5,K0 III,3.15,1.244,0,[Fe/H],1.8,HIP 67851,c,2,2131.8,3.82,0.17,1900.6234,Msini,,0,1,0,0,0,0
Radial Velocity,2009,Ground,217.327347,-46.463818,319.967812,13.145278,230.799411,-29.932401,23.98,10.36,V (Johnson),4105,0.63,,5.7,K7 V,,,,,1.93,HIP 70849,b,1,17337.5,20.25,0.715,2860,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,229.572205,-41.42057,330.383627,13.493213,238.284312,-22.329286,91.49,7.05,V (Johnson),4850,1.74,5.77,5.1,K1 III,3.1,1.215,0.2,[Fe/H],2.2,HIP 74890,b,1,822.3,2.1,0.07,762.792,Msini,,0,1,0,0,0,0
Radial Velocity,2002,Ground,231.232391,58.966064,93.971038,48.627879,184.949712,71.093543,31.33,3.29,V (Johnson),4530,1.05,,5.2,K2 III,2.6,,0.29,[Fe/H],,HIP 75458,b,1,511.098,1.275,0.7124,2803.1,Msini,,0,1,0,0,0,0
Imaging,2010,Ground,240.481064,-21.980389,350.870628,22.681059,242.805542,-1.284748,156.7,7.192,V (Johnson),10500,2.5,,1.9,B9 V,,,,,,HIP 78530,b,1,,740,,7300,Mass,,0,0,1,0,0,0
Radial Velocity,2009,Ground,243.174057,-18.875504,355.200221,22.969669,244.701158,2.238705,14.9,11.34,V (Johnson),3368,0.42,0.54,6.3,M3 V,,-1.523,,,,HIP 79431,b,1,111.7,0.36,0.29,667.415,Msini,,0,1,0,0,0,0
Radial Velocity,2016,Ground,27.526375,-54.464962,285.471427,-60.629572,351.475434,-58.589546,168.63,7.88,V (Johnson),4670,1.17,7.83,5.2,K2 III/IV,2.7,1.405,-0.15,[Fe/H],1.3,HIP 8541,b,1,1560.2,2.8,0.16,1748.065,Msini,,0,1,0,0,0,0
Radial Velocity,2013,Ground,279.221466,61.702503,91.362224,25.357507,313.853679,83.704915,44.46,8.646,V (Johnson),5519,0.97,0.89,4.5,G5 V,4.53,,0.23,[Fe/H],3.5,HIP 91258,b,1,5.0505,0.06,0.02,346.4347,Mass,,0,1,0,0,0,0
Radial Velocity,2014,Ground,296.421967,-0.696645,38.578132,-12.370616,298.298123,20.184503,106.5,7.34,V (Johnson),5020,1.93,5.34,5,K0,3.26,1.204,0.29,[Fe/H],2.2,HIP 97233,b,1,1058.8,2.55,0.61,6356.3,Msini,,0,1,0,0,0,0
Imaging,2006,Space,326.130554,14.771939,69.859355,-28.269284,333.918834,26.633875,18.39,5.95,V (Johnson),5974,1.1,1.04,4,G0 IV-V,4.48,0.072,-0.02,[Fe/H],10.6,HN Peg,b,1,,773,,6991.57,Mass,11.777,0,0,1,0,0,0
Imaging,2016,Ground,102.504227,-60.249146,270.175773,-23.491796,137.301908,-81.593885,33.63,6.11,V (Johnson),,1.3,,3.5,F5 V,,,0.02,[M/H],60,HR 2562,b,1,,20.3,,9534.9,Mass,12.442,0,0,0,0,0,0
Radial Velocity,1999,Ground,40.639442,-50.800293,268.809626,-58.323534,8.235275,-61.014225,17.24,5.41,V (Johnson),6167,1.34,1.13,4,G0 V,4.46,,0.16,[Fe/H],6.5,HR 810,b,1,302.79999,0.92,0.14,721.4741,Mass,,0,1,0,0,0,0
Imaging,2008,Ground,346.869659,21.134251,92.764215,-35.575078,356.787566,24.524745,39.4,5.953,V (Johnson),,1.51,,3.02,F0+ V ({lambda} Boo)...,,,,,,HR 8799,b,4,170000,68,,2000,Mass,13,0,0,1,1,0,0
Imaging,2008,Ground,346.869659,21.134251,92.764215,-35.575078,356.787566,24.524745,39.4,5.953,V (Johnson),,1.51,,3.02,F0+ V ({lambda} Boo)...,,,,,,HR 8799,c,4,69000,38,,3000,Mass,13,0,0,1,1,0,0
Imaging,2008,Ground,346.869659,21.134251,92.764215,-35.575078,356.787566,24.524745,39.4,5.953,V (Johnson),,1.51,,3.02,F0+ V ({lambda} Boo)...,,,,,,HR 8799,d,4,37000,24,,3000,Mass,13,0,0,1,1,0,0
Imaging,2010,Ground,346.869659,21.134251,92.764215,-35.575078,356.787566,24.524745,39.4,5.953,V (Johnson),,1.51,,3.02,F0+ V ({lambda} Boo)...,,,,,,HR 8799,e,4,18000,14.5,,,,,0,0,1,1,0,0
Transit,2015,Space,172.121964,1.690636,261.428425,57.716802,172.097539,-1.571772,,12.418,V (Johnson),5620,0.92,0.98,,,4.5,,-0.07,[Fe/H],3,K2-10,b,1,19.3044,,0.31,27,Mass,3.84,1,0,0,0,0,0
Transit,2016,Space,129.601257,20.106064,205.239998,32.195678,126.785558,1.580633,,10.651,V (Johnson),6120,1.18,1.19,,,,0.25,0.14,[Fe/H],14.8,K2-100,b,1,1.673916,,0.24,,,3.5,1,0,0,0,0,0
Transit,2016,Space,130.344086,18.933874,206.828766,32.443811,127.762216,0.626324,,12.957,V (Johnson),4819,0.8,0.73,,,,-0.595,0.14,[Fe/H],3.9,K2-101,b,1,14.677286,,0.1,,,2,1,0,0,0,0,0
Transit,2016,Space,130.056046,19.778811,205.777905,32.484333,127.282526,1.373143,,13.2,V (Johnson),4695,0.77,0.71,,,,-0.657,0.14,[Fe/H],3,K2-102,b,1,9.915615,,0.1,,,1.3,1,0,0,0,0,0
Transit,2016,Space,129.636749,19.773829,205.621938,32.11241,126.902166,1.267736,,15.149,Kepler-band,3546.46,0.43,0.49,,,,,,,2.6,K2-104,b,1,1.974238,0.023,0.09,,,1.96,1,0,0,0,0,0
Transit,2017,Space,125.42028,13.49753,210.533385,26.005304,124.503883,-5.800266,,11.752,V (Johnson),5434,1.01,0.95,,,4.48,,0.26,[Fe/H],1.76,K2-105,b,1,8.266902,0.081,,30,Mass,3.59,1,1,0,0,0,0
Transit,2016,Space,13.07978,10.794699,123.28403,-52.076426,16.226339,4.784518,,12.102,V (Johnson),5470,0.94,0.87,4.5,G5 V,4.53,,-0.025,[Fe/H],2.8,K2-106,b,2,0.571292,0.0116,0,8.36,Mass,1.52,1,1,0,0,0,0
Transit,2016,Space,13.07978,10.794699,123.28403,-52.076426,16.226339,4.784518,,12.102,V (Johnson),5470,0.94,0.87,4.5,G5 V,4.53,,-0.025,[Fe/H],2.8,K2-106,c,2,13.3397,0.105,0.18,5.8,Mass,2.5,1,1,0,0,0,0
Transit,2017,Space,284.985382,-22.293402,13.732957,-11.74303,283.84239,0.428673,,12.92,V (Johnson),6030,1.3,1.78,3.9,F9 IV,4.07,,0.1,[Fe/H],4.6,K2-107,b,1,3.31392,0.048,0,266.9772,Mass,16.141,1,1,0,0,0,0
Transit,2017,Space,123.381874,16.419609,206.691314,25.351842,121.9181,-3.397461,,12.33,V (Johnson),5474,1.12,1.75,,,3.99,,0.33,[Fe/H],2,K2-108,b,1,4.73401,0.0573,0.18,59.4,Mass,5.28,1,1,0,0,0,0
Transit,2015,Space,169.042007,1.98684,256.659644,56.048769,169.148167,-2.507986,,13.386,V (Johnson),5433,1.35,5.15,,,,,-0.12,[Fe/H],,K2-11,b,1,39.93767,0.2257,,,,7.55,1,0,0,0,0,0
